WRN 2026-07-04T12:53:24.362 ui.42608   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-04T12:53:24.362 ui.42608   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-04T12:53:24.362 ui.42608   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-04T12:53:24.362 ui.42608   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-04T12:53:24.362 ui.42608   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-04T13:00:13.838 ui.49465   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-07-04T13:00:13.838 ui.49465   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-04T13:00:13.838 ui.49465   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-07-04T13:00:13.838 ui.49465   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-04T13:00:13.838 ui.49465   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
