Stage2 Cold 1/80:   1%|          | 55/7829 [00:03<06:23, 20.26it/s, loss=0.8120, hdr=0.0115, cold=0.0595]
Stage2 Cold 1/80:   1%|          | 58/7829 [00:03<06:15, 20.69it/s, loss=0.8120, hdr=0.0115, cold=0.0595]
Stage2 Cold 1/80:   1%|          | 58/7829 [00:03<06:15, 20.69it/s, loss=0.8055, hdr=0.0096, cold=0.0022]
Stage2 Cold 1/80:   1%|          | 58/7829 [00:03<06:15, 20.69it/s, loss=0.8141, hdr=0.0606, cold=0.0628]
Stage2 Cold 1/80:   1%|          | 58/7829 [00:03<06:15, 20.69it/s, loss=0.8157, hdr=0.0085, cold=0.0116]
Stage2 Cold 1/80:   1%|          | 61/7829 [00:03<06:10, 20.98it/s, loss=0.8157, hdr=0.0085, cold=0.0116]
Stage2 Cold 1/80:   1%|          | 61/7829 [00:03<06:10, 20.98it/s, loss=0.8140, hdr=0.0119, cold=0.0274]
Stage2 Cold 1/80:   1%|          | 61/7829 [00:03<06:10, 20.98it/s, loss=0.8142, hdr=0.0182, cold=0.0086]
Stage2 Cold 1/80:   1%|          | 61/7829 [00:03<06:10, 20.98it/s, loss=0.8209, hdr=0.4157, cold=0.0345]
Stage2 Cold 1/80:   1%|          | 64/7829 [00:03<06:05, 21.24it/s, loss=0.8209, hdr=0.4157, cold=0.0345]
Stage2 Cold 1/80:   1%|          | 64/7829 [00:03<06:05, 21.24it/s, loss=0.8197, hdr=0.0228, cold=0.0758]
Stage2 Cold 1/80:   1%|          | 64/7829 [00:03<06:05, 21.24it/s, loss=0.8182, hdr=0.0078, cold=0.0121]
Stage2 Cold 1/80:   1%|          | 64/7829 [00:03<06:05, 21.24it/s, loss=0.8158, hdr=0.0100, cold=0.0379]
Stage2 Cold 1/80:   1%|          | 67/7829 [00:03<06:03, 21.36it/s, loss=0.8158, hdr=0.0100, cold=0.0379]
Stage2 Cold 1/80:   1%|          | 67/7829 [00:03<06:03, 21.36it/s, loss=0.8119, hdr=0.0067, cold=0.0515]
Stage2 Cold 1/80:   1%|          | 67/7829 [00:03<06:03, 21.36it/s, loss=0.8077, hdr=0.0111, cold=0.0694]
Stage2 Cold 1/80:   1%|          | 67/7829 [00:03<06:03, 21.36it/s, loss=0.8072, hdr=0.0040, cold=0.0207]
Stage2 Cold 1/80:   1%|          | 70/7829 [00:03<06:01, 21.48it/s, loss=0.8072, hdr=0.0040, cold=0.0207]
Stage2 Cold 1/80:   1%|          | 70/7829 [00:03<06:01, 21.48it/s, loss=0.8031, hdr=0.0094, cold=0.0533]
Stage2 Cold 1/80:   1%|          | 70/7829 [00:03<06:01, 21.48it/s, loss=0.7998, hdr=0.0104, cold=0.0414]
Stage2 Cold 1/80:   1%|          | 70/7829 [00:03<06:01, 21.48it/s, loss=0.8146, hdr=0.5766, cold=0.0252]
Stage2 Cold 1/80:   1%|          | 73/7829 [00:03<05:59, 21.59it/s, loss=0.8146, hdr=0.5766, cold=0.0252]
Stage2 Cold 1/80:   1%|          | 73/7829 [00:03<05:59, 21.59it/s, loss=0.8183, hdr=0.0265, cold=0.0295]
